consumer_process_id,consumer_process_name,supplier_process_id,supplier_process_name,supplier_location,input_flow_name,input_flow_unit,note
55685bcc48964cc2b130cd1eaf829405_copy1,"Cobalt sulfate, battery grade ECON ALLOC",faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,"Chlorine, production mix, at plant",United States,"Sodium hydroxide, production mix, at plant",kilogram,Supplier process_id not found in new USLCI extract
55685bcc48964cc2b130cd1eaf829405_copy1,"Cobalt sulfate, battery grade ECON ALLOC",1b6afe73-a064-33a3-87b0-265ae10851e9.f867896e-830f-31f9-975d-465b212262ef,"Sulfuric acid, at plant",Northern America,"Sulfuric acid, at plant",kilogram,Supplier process_id not found in new USLCI extract
55685bcc48964cc2b130cd1eaf829405_copy1,"Cobalt sulfate, battery grade ECON ALLOC",89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,"Electricity, at grid, China",megajoule,Supplier process_id not found in new USLCI extract
285a808917de45d3b87454feb8cf5062,graphite concentrate,f934ea7caf914cbeb64bacbdc767763b,graphite ore,GLO,graphite ore,kg,Supplier process_id not found in new USLCI extract
285a808917de45d3b87454feb8cf5062,graphite concentrate,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,"Electricity, at grid, China",megajoule,Supplier process_id not found in new USLCI extract
285a808917de45d3b87454feb8cf5062,graphite concentrate,ae96b993269a4ecda26d0eb391ddcf08,wastewater treatment,GLO,wastewater treatment,m3,Supplier process_id not found in new USLCI extract
285a808917de45d3b87454feb8cf5062,graphite concentrate,3b36ca69f6104ef3b17b15f224634ef3,treatment of waste via landfill,GLO,treatment of waste via landfill,kg,Supplier process_id not found in new USLCI extract
99d8de1cc19c4e8ea9b9974086e636bc,Hastelloy X,b0e83834598d43e6ac64ea0802f1c0a0,Nickel from sulfide ores,GLO,Nickel from sulfide ores,kg,Supplier process_id not found in new USLCI extract
99d8de1cc19c4e8ea9b9974086e636bc,Hastelloy X,5b6adeb1f1284b1e892a5875b7c9e186,chromium,GLO,chromium,kg,Supplier process_id not found in new USLCI extract
99d8de1cc19c4e8ea9b9974086e636bc,Hastelloy X,0ebd9ae0b6d5401f83b1087637d8ebee,Refined cobalt metal_ECON alloc,GLO,Refined cobalt metal_econ alloc,kg,Supplier process_id not found in new USLCI extract
99d8de1cc19c4e8ea9b9974086e636bc,Hastelloy X,a7855d4c3576430ead06c5ff802533e2,Manganese ,GLO,Manganese ,kg,Supplier process_id not found in new USLCI extract
99d8de1cc19c4e8ea9b9974086e636bc,Hastelloy X,811e9dc84b9c4a0db7d0ae790fc19de9,"silicon, metallurgical grade",GLO,"silicon, metallurgical grade",kg,Supplier process_id not found in new USLCI extract
99d8de1cc19c4e8ea9b9974086e636bc,Hastelloy X,27e0cb9d4931414ea3cafe30af20d2e1,titanium,GLO,titanium,kg,Supplier process_id not found in new USLCI extract
2a0d5a60272b4371a22bb858c8d24e1b_copy1,NMC532 battery,21bafe812be94eeaa9270b20b9dd6115,lithium hydroxide ,GLO,lithium hydroxide ,kg,Supplier process_id not found in new USLCI extract
2a0d5a60272b4371a22bb858c8d24e1b_copy1,NMC532 battery,c3b2244dbba5469d839dca55eb479986,Copper,GLO,Copper,kg,Supplier process_id not found in new USLCI extract
2a0d5a60272b4371a22bb858c8d24e1b_copy1,NMC532 battery,2b2f738d-2044-462f-ba56-5112ee683cb6.e7bbbd06-5887-45b0-a3c2-c9d06d571351,"Polyethylene terephthalate, PET, virgin resin, at plant, kg",Northern America,"Polyethylene terephthalate, PET, virgin resin, at plant, kg",kilogram,Supplier process_id not found in new USLCI extract
2a0d5a60272b4371a22bb858c8d24e1b_copy1,NMC532 battery,7b7babef-a97a-3510-88f2-ee70aa1fa03b,"Natural gas, combusted in industrial equipment",Northern America,"Natural gas, combusted in industrial equipment, 1.357 m3/kg, 52.13 MJ/kg",cubic meter,Supplier process_id not found in new USLCI extract
2a0d5a60272b4371a22bb858c8d24e1b_copy1,NMC532 battery,1b8709a5-5df4-4c52-85e4-dd6e7ed8deba.873a365d-3bcd-41bc-85ac-d86185aea6bc,"Steel; sections, at plant",Northern America,"Disposal, hazardous waste",kilogram,Supplier process_id not found in new USLCI extract
2a0d5a60272b4371a22bb858c8d24e1b_copy1,NMC532 battery,55685bcc48964cc2b130cd1eaf829405_copy1,"Cobalt sulfate, battery grade ECON ALLOC",GLO,"Cobalt sulfate, battery grade ECON ALLOC",kg,Supplier process_id not found in new USLCI extract
2a0d5a60272b4371a22bb858c8d24e1b_copy1,NMC532 battery,b0e83834598d43e6ac64ea0802f1c0a0,Nickel from sulfide ores,GLO,Nickel from sulfide ores,kg,Supplier process_id not found in new USLCI extract
2a0d5a60272b4371a22bb858c8d24e1b_copy1,NMC532 battery,a7855d4c3576430ead06c5ff802533e2,Manganese ,GLO,Manganese ,kg,Supplier process_id not found in new USLCI extract
2a0d5a60272b4371a22bb858c8d24e1b_copy1,NMC532 battery,99963138-ddf9-3b32-9e93-69593d76cb08.a0fb699f-0085-3ad2-99bf-e4ea891e61ba,"Aluminum, primary ingot, at plant",Northern America,"Aluminum, primary, ingot, at plant",kilogram,Supplier process_id not found in new USLCI extract
